@relation pandasdata
@attribute Lag_NO_1 real
@attribute Lag_NO_2 real
@attribute Lag_NO_3 real
@attribute Lag_NO_4 real
@attribute Lag_NO_5 real
@attribute Lag_NO_6 real
@attribute Lag_NO_7 real
@attribute Lag_SO2_1 real
@attribute Lag_SO2_2 real
@attribute Lag_SO2_3 real
@attribute Lag_SO2_4 real
@attribute Lag_SO2_5 real
@attribute Lag_SO2_6 real
@attribute Lag_SO2_7 real
@attribute Lag_O3_1 real
@attribute Lag_O3_2 real
@attribute Lag_O3_3 real
@attribute Lag_O3_4 real
@attribute Lag_O3_5 real
@attribute Lag_O3_6 real
@attribute Lag_O3_7 real
@attribute Lag_TMP_1 real
@attribute Lag_TMP_2 real
@attribute Lag_TMP_3 real
@attribute Lag_TMP_4 real
@attribute Lag_TMP_5 real
@attribute Lag_TMP_6 real
@attribute Lag_TMP_7 real
@attribute Lag_HR_1 real
@attribute Lag_HR_2 real
@attribute Lag_HR_3 real
@attribute Lag_HR_4 real
@attribute Lag_HR_5 real
@attribute Lag_HR_6 real
@attribute Lag_HR_7 real
@attribute Lag_NOX_1 real
@attribute Lag_NOX_2 real
@attribute Lag_NOX_3 real
@attribute Lag_NOX_4 real
@attribute Lag_NOX_5 real
@attribute Lag_NOX_6 real
@attribute Lag_NOX_7 real
@attribute Lag_DD_1 real
@attribute Lag_DD_2 real
@attribute Lag_DD_3 real
@attribute Lag_DD_4 real
@attribute Lag_DD_5 real
@attribute Lag_DD_6 real
@attribute Lag_DD_7 real
@attribute Lag_PRB_1 real
@attribute Lag_PRB_2 real
@attribute Lag_PRB_3 real
@attribute Lag_PRB_4 real
@attribute Lag_PRB_5 real
@attribute Lag_PRB_6 real
@attribute Lag_PRB_7 real
@attribute Lag_RS_1 real
@attribute Lag_RS_2 real
@attribute Lag_RS_3 real
@attribute Lag_RS_4 real
@attribute Lag_RS_5 real
@attribute Lag_RS_6 real
@attribute Lag_RS_7 real
@attribute Lag_VV_1 real
@attribute Lag_VV_2 real
@attribute Lag_VV_3 real
@attribute Lag_VV_4 real
@attribute Lag_VV_5 real
@attribute Lag_VV_6 real
@attribute Lag_VV_7 real
@attribute Lag_PM10_1 real
@attribute Lag_PM10_2 real
@attribute Lag_PM10_3 real
@attribute Lag_PM10_4 real
@attribute Lag_PM10_5 real
@attribute Lag_PM10_6 real
@attribute Lag_PM10_7 real
@attribute Lag_NO2_1 real
@attribute Lag_NO2_2 real
@attribute Lag_NO2_3 real
@attribute Lag_NO2_4 real
@attribute Lag_NO2_5 real
@attribute Lag_NO2_6 real
@attribute Lag_NO2_7 real
@attribute NO2 real
@data
8.0,8.0,12.0,19.0,14.0,9.0,5.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,43.0,32.0,46.0,38.0,37.0,41.0,51.0,11.0,11.0,15.0,15.0,12.0,11.0,11.0,84.0,89.0,65.0,69.0,76.0,85.0,78.0,49.0,52.0,67.0,77.0,69.0,53.0,36.0,279.0,297.0,318.0,269.0,285.0,304.0,276.0,1029.0,1028.0,1023.0,1024.0,1024.0,1022.0,1026.0,107.0,63.0,106.0,103.0,88.0,95.0,73.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,24.0,25.0,39.0,33.0,27.0,21.0,37.0,40.0,48.0,48.0,47.0,40.0,28.0,27.0
6.0,8.0,8.0,12.0,19.0,14.0,9.0,11.0,12.0,11.0,11.0,10.0,11.0,11.0,51.0,43.0,32.0,46.0,38.0,37.0,41.0,11.0,11.0,11.0,15.0,15.0,12.0,11.0,83.0,84.0,89.0,65.0,69.0,76.0,85.0,35.0,49.0,52.0,67.0,77.0,69.0,53.0,289.0,279.0,297.0,318.0,269.0,285.0,304.0,1027.0,1029.0,1028.0,1023.0,1024.0,1024.0,1022.0,107.0,107.0,63.0,106.0,103.0,88.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,21.0,24.0,25.0,39.0,33.0,27.0,27.0,37.0,40.0,48.0,48.0,47.0,40.0,56.0
31.0,6.0,8.0,8.0,12.0,19.0,14.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,32.0,51.0,43.0,32.0,46.0,38.0,37.0,10.0,11.0,11.0,11.0,15.0,15.0,12.0,83.0,83.0,84.0,89.0,65.0,69.0,76.0,104.0,35.0,49.0,52.0,67.0,77.0,69.0,299.0,289.0,279.0,297.0,318.0,269.0,285.0,1024.0,1027.0,1029.0,1028.0,1023.0,1024.0,1024.0,100.0,107.0,107.0,63.0,106.0,103.0,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,18.0,21.0,24.0,25.0,39.0,33.0,56.0,27.0,37.0,40.0,48.0,48.0,47.0,35.0
8.0,31.0,6.0,8.0,8.0,12.0,19.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,49.0,32.0,51.0,43.0,32.0,46.0,38.0,13.0,10.0,11.0,11.0,11.0,15.0,15.0,63.0,83.0,83.0,84.0,89.0,65.0,69.0,47.0,104.0,35.0,49.0,52.0,67.0,77.0,304.0,299.0,289.0,279.0,297.0,318.0,269.0,1016.0,1024.0,1027.0,1029.0,1028.0,1023.0,1024.0,30.0,100.0,107.0,107.0,63.0,106.0,103.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,40.0,18.0,21.0,24.0,25.0,39.0,35.0,56.0,27.0,37.0,40.0,48.0,48.0,42.0
10.0,8.0,31.0,6.0,8.0,8.0,12.0,10.0,12.0,11.0,11.0,12.0,11.0,11.0,48.0,49.0,32.0,51.0,43.0,32.0,46.0,14.0,13.0,10.0,11.0,11.0,11.0,15.0,63.0,63.0,83.0,83.0,84.0,89.0,65.0,58.0,47.0,104.0,35.0,49.0,52.0,67.0,344.0,304.0,299.0,289.0,279.0,297.0,318.0,1020.0,1016.0,1024.0,1027.0,1029.0,1028.0,1023.0,106.0,30.0,100.0,107.0,107.0,63.0,106.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,24.0,24.0,40.0,18.0,21.0,24.0,25.0,42.0,35.0,56.0,27.0,37.0,40.0,48.0,39.0
17.0,10.0,8.0,31.0,6.0,8.0,8.0,12.0,10.0,12.0,11.0,11.0,12.0,11.0,45.0,48.0,49.0,32.0,51.0,43.0,32.0,13.0,14.0,13.0,10.0,11.0,11.0,11.0,82.0,63.0,63.0,83.0,83.0,84.0,89.0,64.0,58.0,47.0,104.0,35.0,49.0,52.0,241.0,344.0,304.0,299.0,289.0,279.0,297.0,1024.0,1020.0,1016.0,1024.0,1027.0,1029.0,1028.0,109.0,106.0,30.0,100.0,107.0,107.0,63.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,24.0,24.0,24.0,40.0,18.0,21.0,24.0,39.0,42.0,35.0,56.0,27.0,37.0,40.0,38.0
10.0,17.0,10.0,8.0,31.0,6.0,8.0,12.0,12.0,10.0,12.0,11.0,11.0,12.0,39.0,45.0,48.0,49.0,32.0,51.0,43.0,14.0,13.0,14.0,13.0,10.0,11.0,11.0,69.0,82.0,63.0,63.0,83.0,83.0,84.0,53.0,64.0,58.0,47.0,104.0,35.0,49.0,303.0,241.0,344.0,304.0,299.0,289.0,279.0,1018.0,1024.0,1020.0,1016.0,1024.0,1027.0,1029.0,110.0,109.0,106.0,30.0,100.0,107.0,107.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,24.0,24.0,24.0,40.0,18.0,21.0,38.0,39.0,42.0,35.0,56.0,27.0,37.0,19.0
7.0,10.0,17.0,10.0,8.0,31.0,6.0,10.0,12.0,12.0,10.0,12.0,11.0,11.0,67.0,39.0,45.0,48.0,49.0,32.0,51.0,11.0,14.0,13.0,14.0,13.0,10.0,11.0,45.0,69.0,82.0,63.0,63.0,83.0,83.0,29.0,53.0,64.0,58.0,47.0,104.0,35.0,327.0,303.0,241.0,344.0,304.0,299.0,289.0,1023.0,1018.0,1024.0,1020.0,1016.0,1024.0,1027.0,117.0,110.0,109.0,106.0,30.0,100.0,107.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,16.0,20.0,24.0,24.0,24.0,40.0,18.0,19.0,38.0,39.0,42.0,35.0,56.0,27.0,13.0
5.0,7.0,10.0,17.0,10.0,8.0,31.0,12.0,10.0,12.0,12.0,10.0,12.0,11.0,68.0,67.0,39.0,45.0,48.0,49.0,32.0,11.0,11.0,14.0,13.0,14.0,13.0,10.0,45.0,45.0,69.0,82.0,63.0,63.0,83.0,20.0,29.0,53.0,64.0,58.0,47.0,104.0,321.0,327.0,303.0,241.0,344.0,304.0,299.0,1024.0,1023.0,1018.0,1024.0,1020.0,1016.0,1024.0,117.0,117.0,110.0,109.0,106.0,30.0,100.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,10.0,16.0,20.0,24.0,24.0,24.0,40.0,13.0,19.0,38.0,39.0,42.0,35.0,56.0,16.0
5.0,5.0,7.0,10.0,17.0,10.0,8.0,10.0,12.0,10.0,12.0,12.0,10.0,12.0,69.0,68.0,67.0,39.0,45.0,48.0,49.0,15.0,11.0,11.0,14.0,13.0,14.0,13.0,42.0,45.0,45.0,69.0,82.0,63.0,63.0,24.0,20.0,29.0,53.0,64.0,58.0,47.0,326.0,321.0,327.0,303.0,241.0,344.0,304.0,1018.0,1024.0,1023.0,1018.0,1024.0,1020.0,1016.0,115.0,117.0,117.0,110.0,109.0,106.0,30.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,25.0,10.0,16.0,20.0,24.0,24.0,24.0,16.0,13.0,19.0,38.0,39.0,42.0,35.0,20.0
